Date, Open , High , Low , Close ,Adj Close,Volume
9/10/2010,4.15,4.19,3.95,4.03,4.03,1933000.00
9/13/2010,4.18,4.18,4.10,4.14,4.14,1804000.00
9/14/2010,4.11,4.32,4.11,4.22,4.22,3273500.00
9/15/2010,4.20,4.40,4.16,4.40,4.40,3423000.00
9/16/2010,4.43,4.63,4.17,4.19,4.19,13422500.00
9/17/2010,4.20,4.26,3.96,4.05,4.05,5992500.00
9/20/2010,4.13,4.27,4.03,4.21,4.21,4737500.00
9/21/2010,4.18,4.31,4.13,4.15,4.15,3980000.00
9/22/2010,4.17,4.19,3.96,3.97,3.97,4814500.00
9/23/2010,3.98,4.03,3.90,3.91,3.91,3340500.00
9/24/2010,3.99,4.04,3.93,4.02,4.02,2894500.00
9/27/2010,4.08,4.16,4.01,4.11,4.11,2093000.00
9/28/2010,4.21,4.30,4.15,4.28,4.28,6072500.00
9/29/2010,4.24,4.41,4.23,4.40,4.40,9846500.00
9/30/2010,4.40,4.43,4.04,4.08,4.08,10979000.00
10/1/2010,4.14,4.15,4.06,4.12,4.12,2988500.00
10/4/2010,4.09,4.23,4.06,4.20,4.20,3218000.00
10/5/2010,4.23,4.26,4.20,4.22,4.22,1660000.00
10/6/2010,4.21,4.25,4.06,4.09,4.09,1567000.00
10/7/2010,4.11,4.13,4.07,4.09,4.09,705000.00
10/8/2010,4.09,4.16,4.08,4.09,4.09,1339000.00
10/11/2010,4.09,4.14,4.01,4.05,4.05,856000.00
10/12/2010,4.04,4.06,4.01,4.05,4.05,1220000.00
10/13/2010,4.13,4.17,4.07,4.11,4.11,1591000.00
10/14/2010,4.20,4.21,4.08,4.15,4.15,1474000.00
10/15/2010,4.18,4.18,4.05,4.11,4.11,1423500.00
10/18/2010,4.10,4.13,4.04,4.05,4.05,814000.00
10/19/2010,4.04,4.08,4.00,4.01,4.01,1226000.00
10/20/2010,4.03,4.14,4.01,4.13,4.13,1562500.00
10/21/2010,4.12,4.19,4.09,4.15,4.15,2085500.00
10/22/2010,4.14,4.19,4.11,4.14,4.14,805500.00
10/25/2010,4.19,4.20,4.15,4.17,4.17,592500.00
10/26/2010,4.16,4.37,4.10,4.27,4.27,3304500.00
10/27/2010,4.25,4.28,4.13,4.20,4.20,1782500.00
10/28/2010,4.28,4.30,4.19,4.24,4.24,1121000.00
10/29/2010,4.23,4.37,4.21,4.37,4.37,1403000.00
11/1/2010,4.39,4.55,4.26,4.28,4.28,2279000.00
11/2/2010,4.34,4.38,4.21,4.25,4.25,1612500.00
11/3/2010,4.26,4.50,4.23,4.35,4.35,1863000.00
11/4/2010,4.52,5.07,4.43,4.98,4.98,9370000.00
11/5/2010,4.97,4.99,4.74,4.89,4.89,5055000.00
11/8/2010,4.90,5.00,4.81,5.00,5.00,2547500.00
11/9/2010,5.00,5.14,4.81,4.93,4.93,4782000.00
11/10/2010,4.90,5.99,4.81,5.87,5.87,15302500.00
11/11/2010,5.72,5.82,5.47,5.61,5.61,9726500.00
11/12/2010,5.65,6.10,5.61,5.97,5.97,13645500.00
11/15/2010,6.04,6.59,6.04,6.16,6.16,13114500.00
11/16/2010,6.20,6.28,5.68,5.93,5.93,6738000.00
11/17/2010,6.04,6.15,5.72,5.90,5.90,3750000.00
11/18/2010,6.13,6.15,5.78,5.98,5.98,4780500.00
11/19/2010,6.03,6.27,5.94,6.20,6.20,5752500.00
11/22/2010,6.31,6.69,6.30,6.68,6.68,7648500.00
11/23/2010,6.66,7.14,6.44,6.91,6.91,7889000.00
11/24/2010,7.05,7.19,6.87,7.09,7.09,7125000.00
11/26/2010,7.12,7.20,6.95,7.06,7.06,1753000.00
11/29/2010,7.08,7.19,6.67,6.87,6.87,5728000.00
11/30/2010,6.75,7.07,6.68,7.07,7.07,11113000.00
12/1/2010,7.17,7.28,6.69,6.87,6.87,6496000.00
12/2/2010,6.80,6.86,6.24,6.47,6.47,10035000.00
12/3/2010,6.40,6.45,6.17,6.30,6.30,5800500.00
12/6/2010,6.27,6.29,5.91,6.06,6.06,6372000.00
12/7/2010,6.10,6.48,6.01,6.31,6.31,6556500.00
12/8/2010,6.50,6.50,6.30,6.47,6.47,3300000.00
12/9/2010,6.50,6.54,6.33,6.41,6.41,2030000.00
12/10/2010,6.41,6.58,6.23,6.30,6.30,2147000.00
12/13/2010,6.33,6.35,6.08,6.11,6.11,2052000.00
12/14/2010,6.06,6.08,5.55,5.71,5.71,8828500.00
12/15/2010,5.73,5.99,5.71,5.92,5.92,3714500.00
12/16/2010,6.00,6.18,5.93,6.16,6.16,3950500.00
12/17/2010,6.27,6.31,6.14,6.27,6.27,4065000.00
12/20/2010,6.33,6.44,6.25,6.34,6.34,2617000.00
12/21/2010,6.36,6.54,6.34,6.45,6.45,3888500.00
12/22/2010,6.45,6.57,6.34,6.53,6.53,4166500.00
12/23/2010,6.25,6.50,5.98,6.02,6.02,7763000.00
12/27/2010,5.60,5.72,5.01,5.11,5.11,46509500.00
12/28/2010,5.17,5.35,5.00,5.28,5.28,20281500.00
12/29/2010,5.41,5.60,5.30,5.55,5.55,16596000.00
12/30/2010,5.54,5.58,5.28,5.30,5.30,10205500.00
12/31/2010,5.31,5.45,5.30,5.33,5.33,7089500.00
1/3/2011,5.37,5.40,5.18,5.32,5.32,6415000.00
1/4/2011,5.33,5.39,5.20,5.33,5.33,5937000.00
1/5/2011,5.30,5.38,5.24,5.37,5.37,7233500.00
1/6/2011,5.37,5.60,5.36,5.58,5.58,10306000.00
1/7/2011,5.60,5.72,5.58,5.65,5.65,11239500.00
1/10/2011,5.63,5.74,5.61,5.69,5.69,6713500.00
1/11/2011,5.72,5.74,5.38,5.39,5.39,8551000.00
1/12/2011,5.40,5.48,5.30,5.39,5.39,4822000.00
1/13/2011,5.39,5.39,5.23,5.24,5.24,3618000.00
1/14/2011,5.23,5.32,5.12,5.15,5.15,5960000.00
1/18/2011,5.10,5.13,4.95,5.13,5.13,8108500.00
1/19/2011,5.05,5.09,4.75,4.81,4.81,11857500.00
1/20/2011,4.81,4.89,4.47,4.52,4.52,11399500.00
1/21/2011,4.62,4.72,4.54,4.61,4.61,6085000.00
1/24/2011,4.71,4.96,4.65,4.90,4.90,8225500.00
1/25/2011,4.93,4.98,4.80,4.94,4.94,6357500.00
1/26/2011,4.94,4.98,4.82,4.95,4.95,5399500.00
1/27/2011,4.95,5.02,4.91,4.98,4.98,4478500.00
1/28/2011,4.98,4.98,4.75,4.80,4.80,5242000.00
1/31/2011,4.81,4.82,4.70,4.82,4.82,4151500.00
2/1/2011,4.86,4.95,4.71,4.78,4.78,3539000.00
2/2/2011,4.83,4.84,4.73,4.79,4.79,2847500.00
2/3/2011,4.76,4.78,4.63,4.73,4.73,2560000.00
2/4/2011,4.69,4.73,4.64,4.69,4.69,2720000.00
2/7/2011,4.65,4.65,4.58,4.61,4.61,4475500.00
2/8/2011,4.76,5.05,4.60,4.90,4.90,17524500.00
2/9/2011,4.83,4.84,4.56,4.64,4.64,13178000.00
2/10/2011,4.65,4.73,4.56,4.64,4.64,4180500.00
2/11/2011,4.65,4.75,4.59,4.65,4.65,3172500.00
2/14/2011,4.73,4.83,4.61,4.62,4.62,6415500.00
2/15/2011,4.60,4.63,4.51,4.57,4.57,4768500.00
2/16/2011,4.62,4.99,4.61,4.95,4.95,20575500.00
2/17/2011,4.93,5.10,4.71,4.72,4.72,13092000.00
2/18/2011,4.67,4.70,4.59,4.64,4.64,11853500.00
2/22/2011,4.58,4.60,4.36,4.37,4.37,10323000.00
2/23/2011,4.44,4.50,4.22,4.37,4.37,8028000.00
2/24/2011,4.36,4.52,4.30,4.51,4.51,5276500.00
2/25/2011,4.56,4.77,4.54,4.72,4.72,6731500.00
2/28/2011,4.75,4.82,4.70,4.78,4.78,5256000.00
3/1/2011,4.81,4.86,4.74,4.79,4.79,5532000.00
3/2/2011,4.76,4.86,4.75,4.80,4.80,3316500.00
3/3/2011,4.90,4.96,4.81,4.87,4.87,3201000.00
3/4/2011,4.90,5.00,4.76,4.99,4.99,7900500.00
3/7/2011,4.99,5.08,4.94,4.99,4.99,10168000.00
3/8/2011,4.92,4.99,4.80,4.93,4.93,6999500.00
3/9/2011,4.93,5.00,4.85,4.94,4.94,4624000.00
3/10/2011,4.89,4.90,4.75,4.80,4.80,5085000.00
3/11/2011,4.77,4.85,4.71,4.81,4.81,4654000.00
3/14/2011,4.76,4.80,4.64,4.65,4.65,5830000.00
3/15/2011,4.44,4.59,4.36,4.59,4.59,6594000.00
3/16/2011,4.57,4.65,4.54,4.56,4.56,5848500.00
3/17/2011,4.65,4.69,4.53,4.56,4.56,4613000.00
3/18/2011,4.64,4.64,4.50,4.59,4.59,3439500.00
3/21/2011,4.61,4.61,4.51,4.55,4.55,2058500.00
3/22/2011,4.55,4.57,4.40,4.44,4.44,2914500.00
3/23/2011,4.42,4.45,4.35,4.44,4.44,2114000.00
3/24/2011,4.43,4.48,4.40,4.47,4.47,2311000.00
3/25/2011,4.49,4.60,4.48,4.55,4.55,2840000.00
3/28/2011,4.54,4.71,4.51,4.65,4.65,5290500.00
3/29/2011,4.66,4.80,4.64,4.78,4.78,3777000.00
3/30/2011,4.82,4.90,4.60,4.74,4.74,6116500.00
3/31/2011,5.31,5.74,5.30,5.55,5.55,57589000.00
4/1/2011,5.49,5.64,5.31,5.33,5.33,14324000.00
4/4/2011,5.37,5.40,5.05,5.17,5.17,13046500.00
4/5/2011,5.18,5.40,5.14,5.34,5.34,15904500.00
4/6/2011,5.40,5.40,5.16,5.30,5.30,6441500.00
4/7/2011,5.37,5.59,5.29,5.45,5.45,14051500.00
4/8/2011,5.52,5.52,5.27,5.30,5.30,9732000.00
4/11/2011,5.29,5.31,5.00,5.05,5.05,6847000.00
4/12/2011,5.02,5.04,4.86,4.93,4.93,6787000.00
4/13/2011,5.03,5.14,4.96,4.99,4.99,6057500.00
4/14/2011,4.97,5.06,4.84,5.03,5.03,4917000.00
4/15/2011,5.13,5.24,5.08,5.12,5.12,4717500.00
4/18/2011,5.03,5.12,4.87,5.01,5.01,5169500.00
4/19/2011,5.05,5.05,4.93,5.03,5.03,2743500.00
4/20/2011,5.14,5.22,5.06,5.15,5.15,4186000.00
4/21/2011,5.17,5.40,5.12,5.35,5.35,6930500.00
4/25/2011,5.34,5.35,5.19,5.28,5.28,4004500.00
4/26/2011,5.33,5.45,5.26,5.39,5.39,7000000.00
4/27/2011,5.39,5.47,5.33,5.42,5.42,4984500.00
4/28/2011,5.41,5.54,5.34,5.53,5.53,8000000.00
4/29/2011,5.54,5.57,5.48,5.52,5.52,3630000.00
5/2/2011,5.52,5.56,5.41,5.49,5.49,3923000.00
5/3/2011,5.48,5.48,5.30,5.37,5.37,4569500.00
5/4/2011,5.36,5.40,5.15,5.34,5.34,5222500.00
5/5/2011,5.44,5.49,5.23,5.29,5.29,6092500.00
5/6/2011,5.38,5.54,5.32,5.42,5.42,4908500.00
5/9/2011,5.40,5.60,5.37,5.58,5.58,4582000.00
5/10/2011,5.65,5.79,5.58,5.67,5.67,7676500.00
5/11/2011,5.64,5.66,5.38,5.41,5.41,4812500.00
5/12/2011,5.41,5.55,5.33,5.53,5.53,3140000.00
5/13/2011,5.60,5.64,5.46,5.51,5.51,3307500.00
5/16/2011,5.60,5.60,5.31,5.32,5.32,3778500.00
5/17/2011,5.40,5.40,5.14,5.19,5.19,6171000.00
5/18/2011,5.22,5.29,5.10,5.27,5.27,3647500.00
5/19/2011,5.41,5.69,5.32,5.64,5.64,13275500.00
5/20/2011,5.65,5.66,5.47,5.59,5.59,4212500.00
5/23/2011,5.52,5.52,5.32,5.36,5.36,4318000.00
5/24/2011,5.40,5.50,5.32,5.34,5.34,3068500.00
5/25/2011,5.38,5.80,5.23,5.80,5.80,23465500.00
5/26/2011,5.76,5.95,5.62,5.90,5.90,16684500.00
5/27/2011,5.91,5.93,5.76,5.91,5.91,8435500.00
5/31/2011,5.94,6.06,5.91,6.03,6.03,16452500.00
6/1/2011,6.00,6.02,5.68,5.70,5.70,7649500.00
6/2/2011,5.70,5.86,5.70,5.75,5.75,4931500.00
6/3/2011,5.99,6.30,5.90,6.03,6.03,31046000.00
